"Year","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"1992","Imports","Minnesota","Total","45502.0000","775600.4400","17.05"
"1992","Imports","Montana","British Columbia","229.3000","13403.6100","58.45"
"1992","Imports","Montana","Total","229.3000","13403.6100","58.45"
"1992","Imports","New England-ISO","Québec","524181.0000","14782935.5600","28.08"
"1992","Imports","New England-ISO","Total","524181.0000","14782935.5600","28.08"
"1992","Imports","New York","Ontario","37142.0000","3654415.7900","97.39"
"1992","Imports","New York","Québec","439931.0000","24292080.4500","28.00"
"1992","Imports","New York","Total","477073.0000","27946496.2400","33.41"
"1992","Imports","North Dakota","Saskatchewan","7275.0000","1668783.9600","18.05"
"1992","Imports","North Dakota","Total","7275.0000","1668783.9600","18.05"
"1992","Imports","Total","Alberta","2332.0000","90299.0800","38.72"
"1992","Imports","Total","British Columbia","520.3000","20799.6100","39.98"
"1992","Imports","Total","New Brunswick","56377.8000","992032.3700","17.50"
"1992","Imports","Total","Ontario","397477.2000","13787439.7300","34.59"
"1992","Imports","Total","Québec","1371710.0000","60641471.8700","28.73"
"1992","Imports","Total","Saskatchewan","7275.0000","1668783.9600","18.05"
"1992","Imports","Total","Total","1835692.3000","77200826.6200","29.63"
"1992","Imports","Vermont","Québec","407598.0000","21566455.8600","30.35"
"1992","Imports","Vermont","Total","407598.0000","21566455.8600","30.35"
"1992","Imports","Washington","Alberta","2332.0000","90299.0800","38.72"
"1992","Imports","Washington","British Columbia","291.0000","7396.0000","25.42"
"1992","Imports","Washington","Total","2623.0000","97695.0800","37.25"
"1993","Exports","British Columbia","Alaska","1321.6200","79307.4800","60.01"
"1993","Exports","British Columbia","California","19239.0000","761283.9900","39.57"
"1993","Exports","British Columbia","Montana","3040.0000","120129.9100","39.52"
"1993","Exports","British Columbia","Nevada","1049.0000","34813.0000","33.19"
"1993","Exports","British Columbia","Oregon","1081483.0000","40756614.0100","37.69"
